BinCenter BinContent
41.66666666666667 0
45.0 2
48.33333333333333 0
51.66666666666667 2
55.0 0
58.333333333333336 2
61.66666666666667 1
65.0 2
68.33333333333334 1
71.66666666666667 0
75.0 0
78.33333333333334 0
81.66666666666667 0
85.0 1
88.33333333333334 3
91.66666666666667 4
95.0 5
98.33333333333334 0
101.66666666666667 0
105.0 0
108.33333333333334 0
111.66666666666667 0
115.0 0
118.33333333333334 0
121.66666666666667 0
125.0 0
128.33333333333334 0
131.66666666666669 1
135.0 0
138.33333333333334 0
141.66666666666669 0
145.0 0
148.33333333333334 0
151.66666666666669 0
155.0 0
158.33333333333334 0
