BinCenter BinContent
14.055555555555555 3
18.166666666666664 1
22.27777777777778 1
26.388888888888886 1
30.5 0
34.611111111111114 0
38.722222222222214 1
42.83333333333333 0
46.94444444444444 1
51.05555555555556 1
55.16666666666666 1
59.27777777777777 1
63.388888888888886 0
67.5 0
71.6111111111111 0
75.72222222222221 0
79.83333333333333 0
83.94444444444444 1
88.05555555555554 2
92.16666666666666 1
96.27777777777777 5
100.38888888888889 0
104.49999999999999 0
108.6111111111111 0
112.72222222222221 0
116.83333333333333 0
120.94444444444443 0
125.05555555555554 0
129.16666666666666 0
133.27777777777777 0
137.38888888888886 0
141.5 0
145.6111111111111 0
149.72222222222223 0
153.83333333333331 0
157.94444444444446 0
