run,luminosityBlock,event,PV_npvs,PV_x,PV_y,PV_z,nMuon,Muon_pt,Muon_eta,Muon_phi,Muon_mass,Muon_charge,Muon_pfRelIso03_all,Muon_pfRelIso04_all,Muon_dxy,Muon_dxyErr,Muon_dz,Muon_dzErr,nElectron,Electron_pt,Electron_eta,Electron_phi,Electron_mass,Electron_charge,Electron_pfRelIso03_all,Electron_dxy,Electron_dxyErr,Electron_dz,Electron_dzErr,MET_pt,MET_phi
195378,148,155753218.0,16,0.07474510371685028,0.06521394848823547,-5.899411201477051,0,[],[],[],[],[],[],[],[],[],[],[],4,"[72.6, 45.1, 37.7, 19.5]","[-0.627, -0.0514, -0.968, -2.22]","[-2.94, 1.11, -0.828, -2.55]","[0.0244, 0.0108, -0.0204, 0.0127]","[1, 1, -1, -1]","[0.0451, 0.0975, 0.0477, 0.0751]","[0.00159, 0.000212, -0.000845, 0.00719]","[0.00153, 0.00187, 0.00403, 0.0108]","[-0.000615, 0.000114, -0.00309, -0.00524]","[0.00195, 0.00349, 0.00341, 0.0175]",22.215396881103516,-0.9632179141044617
194050,414,401484983.0,13,0.07319650799036026,0.06468238681554794,0.702900767326355,0,[],[],[],[],[],[],[],[],[],[],[],4,"[85.2, 34.9, 20.3, 60.5]","[0.419, 0.498, 2.2, 0.482]","[-0.102, -2.11, -1.67, 2.25]","[-0.0217, -0.00873, -0.0271, -0.0147]","[-1, 1, -1, 1]","[0.0414, 0.102, 0.329, 0.0397]","[-0.000568, -0.000367, 0.00056, 0.00161]","[0.00174, 0.00208, 0.00757, 0.00218]","[-0.00127, -0.000717, -0.0115, -0.000212]","[0.00219, 0.00276, 0.0113, 0.00249]",7.454779148101807,-1.8799792528152466
196239,393,384138657.0,12,0.07037199288606644,0.061194371432065964,-0.7635260820388794,0,[],[],[],[],[],[],[],[],[],[],[],4,"[22.2, 15.6, 13.5, 16.4]","[-0.45, 0.61, 1.21, 1.58]","[-2.53, -0.717, -2.54, 1.53]","[-0.00612, -0.00559, -0.00927, 0.00363]","[1, -1, 1, -1]","[0.031, 0.0326, 0.0284, 0.071]","[0.00333, 0.00151, 0.0202, 0.000992]","[0.00302, 0.00401, 0.00791, 0.0108]","[0.00328, 0.000274, -0.00782, -0.0196]","[0.00262, 0.00322, 0.00823, 0.00828]",12.684207916259766,2.17256760597229
194076,323,340846024.0,14,0.06990446150302887,0.06195662170648575,2.6839799880981445,0,[],[],[],[],[],[],[],[],[],[],[],4,"[26, 38.4, 32.4, 23.8]","[1.56, -0.423, 0.408, 0.0456]","[-1.63, -0.0579, 2.85, 2.2]","[-0.00572, -0.011, 0.00494, 0.000671]","[1, -1, 1, -1]","[0.207, 0.0147, 0.0319, 0.0151]","[0.00245, -0.00077, -0.000333, -0.00202]","[0.00434, 0.00215, 0.00287, 0.00282]","[0.00152, -0.000913, 0.000932, -0.00699]","[0.00463, 0.00154, 0.00191, 0.00382]",5.622320652008057,1.7384048700332642
196531,116,114371709.0,29,0.06838861852884293,0.06823717057704926,-2.9833550453186035,0,[],[],[],[],[],[],[],[],[],[],[],4,"[81.6, 60.4, 25.4, 42]","[0.7, 1.07, 1.57, 1.75]","[-0.564, -2.53, 1.98, 1.68]","[-0.00685, -0.0227, 0.0193, 0.00719]","[1, 1, -1, -1]","[0.0706, 0.0391, 0.144, 0.0834]","[0.000933, 0.00284, -0.00277, 0.0201]","[0.002, 0.00254, 0.00306, 0.0133]","[0.000731, -0.00335, -0.00118, -0.00319]","[0.00354, 0.00319, 0.0049, 0.0185]",0.3769409656524658,2.1310582160949707
194480,972,863682922.0,14,0.07779606431722641,0.06519670784473419,3.103243589401245,0,[],[],[],[],[],[],[],[],[],[],[],4,"[40, 45.7, 53, 44.6]","[1.59, 1.76, 1.02, 2.32]","[-1.69, -0.472, 1.81, 2.78]","[-0.00507, 0.0439, -0.0105, -0.0336]","[-1, -1, 1, 1]","[0.135, 0.0187, 0.00859, 0.0234]","[-0.00509, -0.00237, 0.000835, 0.00537]","[0.00419, 0.00247, 0.00413, 0.00654]","[-0.00703, 0.00338, -0.00164, -0.0241]","[0.00433, 0.00476, 0.00443, 0.018]",24.08399772644043,2.9359352588653564
195147,465,567117841.0,15,0.06928285211324692,0.06042508780956268,1.4880940914154053,2,"[27.2, 107]","[-1.36, -0.344]","[0.778, -0.664]","[0.106, 0.106]","[-1, 1]","[0, 0.0226]","[0.0487, 0.0366]","[-0.000512, 3.54e-05]","[0.00118, 0.00092]","[0.000758, -0.00254]","[0.00375, 0.0028]",2,"[96.7, 29.6]","[-0.503, -1.21]","[3.09, 1.39]","[0.021, 0.00655]","[1, -1]","[0.0149, 0.0345]","[-0.000314, 0.00167]","[0.00108, 0.00362]","[-0.00224, -0.00485]","[0.00146, 0.00422]",17.840917587280273,-0.3292793035507202
195115,21,18955331.0,16,0.07238241285085678,0.06483981758356094,-8.422611236572266,2,"[130, 18.3]","[0.765, -0.155]","[-1.47, 0.577]","[0.106, 0.106]","[-1, 1]","[0.0511, 0.0716]","[0.0708, 0.0716]","[-0.000196, -9.62e-05]","[0.00118, 0.0012]","[0.00317, -0.00459]","[0.00288, 0.00316]",2,"[88.1, 35.2]","[0.501, -0.654]","[2.23, 1.06]","[-0.0179, -0.01]","[-1, 1]","[0.0305, 0.00714]","[-0.00146, -0.00304]","[0.0013, 0.00143]","[-0.00102, -0.00025]","[0.00219, 0.00205]",30.565093994140625,-3.040238857269287
196438,969,831731260.0,10,0.0709645077586174,0.06141084432601929,-1.2965106964111328,2,"[58, 28.3]","[-1.89, -0.291]","[-2.09, 2.94]","[0.106, 0.106]","[-1, 1]","[0, 0]","[0.016, 0]","[-0.00305, 0.00174]","[0.00225, 0.00153]","[-0.0109, 0.00355]","[0.00708, 0.0031]",2,"[16.5, 27.4]","[-0.85, 2.4]","[1.8, 0.163]","[-0.0046, 0.0217]","[1, -1]","[-999, -999]","[-0.00118, 0.292]","[0.00613, 0.0986]","[0.000414, 0.91]","[0.00697, 1.58]",17.98092269897461,-1.8679734468460083
195530,137,215099909.0,12,0.07321755588054657,0.06317396461963654,-2.387559413909912,2,"[238, 52]","[0.919, 0.673]","[0.836, 0.0403]","[0.106, 0.106]","[-1, 1]","[0.00295, 0.0216]","[0.0062, 0.0353]","[-0.000359, -0.000657]","[0.00102, 0.00125]","[-0.00321, 0.000976]","[0.00288, 0.00298]",2,"[29.9, 117]","[-0.139, 1.29]","[2.87, 2.7]","[-0.00321, 0.0377]","[1, -1]","[0.0713, 0.0333]","[-0.000498, -0.0019]","[0.003, 0.00174]","[-0.00249, -0.00494]","[0.00407, 0.00357]",19.548065185546875,1.5124421119689941
196218,296,446438292.0,14,0.07161995023488998,0.06277316063642502,-6.864948272705078,2,"[42.5, 57.8]","[2.13, 1.51]","[-0.111, -2.27]","[0.106, 0.106]","[-1, 1]","[0.0297, 0.00649]","[0.0297, 0.0278]","[0.00235, 0.000655]","[0.0048, 0.000995]","[-0.00154, 0.00011]","[0.0247, 0.00455]",2,"[87.1, 25.1]","[1.44, 0.758]","[1.79, -0.67]","[0.0316, -0.00712]","[-1, 1]","[0.0129, 0.113]","[-0.00253, 0.00631]","[0.000957, 0.00814]","[-0.00788, -0.00405]","[0.0032, 0.00412]",26.88652992248535,-0.9607660174369812
195378,296,372893489.0,12,0.07501856982707977,0.06631045788526535,3.1483724117279053,2,"[21.6, 85.6]","[-2.04, -0.549]","[1.87, 0.227]","[0.106, 0.106]","[-1, 1]","[0.0964, 0.0452]","[0.156, 0.0518]","[-0.000464, 0.00107]","[0.00472, 0.000903]","[-0.00332, -0.00243]","[0.00878, 0.00161]",2,"[55.9, 36.2]","[-1.33, -2.43]","[-1.71, 2.56]","[0.0157, 0.0424]","[-1, 1]","[0.051, -999]","[0.00283, -0.013]","[0.00349, 0.00496]","[0.00452, 0.00591]","[0.00364, 0.0111]",20.15387725830078,-0.3787685036659241
194050,954,900261478.0,7,0.07108113914728165,0.0628088191151619,-0.7231199145317078,2,"[52.9, 35.9]","[-1.86, -1.6]","[-0.808, -3.01]","[0.106, 0.106]","[-1, 1]","[0.00345, 0.0235]","[0.00345, 0.0569]","[-0.000655, 0.00179]","[0.000863, 0.00195]","[0.00286, -0.00148]","[0.00475, 0.00458]",2,"[15.6, 30.7]","[-1.86, -0.782]","[-0.808, 0.741]","[-0.0103, -0.0102]","[-1, 1]","[-999, -999]","[-0.00271, -0.000576]","[0.00145, 0.00336]","[0.00533, 0.00256]","[0.00432, 0.00337]",30.114784240722656,-1.78230619430542
195398,66,53211301.0,8,0.07280030101537704,0.0643172413110733,-5.997319221496582,2,"[53.3, 71.8]","[-0.178, -1.02]","[0.135, 1.36]","[0.106, 0.106]","[-1, 1]","[0.168, 0.0103]","[0.177, 0.0453]","[-0.000241, 0.00246]","[0.00205, 0.00152]","[0.000539, 0.000878]","[0.00395, 0.00308]",2,"[57.8, 70]","[-1.27, -0.344]","[-2.04, -3.14]","[0.0243, 0.0165]","[-1, 1]","[0.0675, 0.0643]","[-0.00423, -0.000774]","[0.00583, 0.00179]","[-0.0111, 0.00348]","[0.00522, 0.0031]",10.53257942199707,-0.40880316495895386
