BinCenter BinContent
71.52777777777777 1
74.58333333333334 0
77.63888888888889 0
80.69444444444446 1
83.75 0
86.80555555555554 1
89.86111111111111 1
92.91666666666666 0
95.97222222222223 1
99.02777777777777 0
102.08333333333334 0
105.13888888888889 1
108.19444444444444 0
111.25 0
114.30555555555554 1
117.36111111111111 0
120.41666666666666 0
123.47222222222223 2
126.52777777777777 0
129.58333333333331 0
132.63888888888889 0
135.69444444444446 0
138.75 0
141.80555555555554 0
144.8611111111111 0
147.91666666666669 0
150.97222222222223 0
154.02777777777777 2
157.08333333333331 0
160.13888888888886 0
163.19444444444446 0
166.25 0
169.30555555555554 0
172.3611111111111 0
175.41666666666669 0
178.47222222222223 0
