BinCenter BinContent
41.66666666666667 0
45.0 0
48.33333333333333 1
51.66666666666667 0
55.0 0
58.333333333333336 1
61.66666666666667 1
65.0 0
68.33333333333334 0
71.66666666666667 2
75.0 2
78.33333333333334 2
81.66666666666667 0
85.0 2
88.33333333333334 6
91.66666666666667 16
95.0 0
98.33333333333334 0
101.66666666666667 1
105.0 1
108.33333333333334 0
111.66666666666667 0
115.0 0
118.33333333333334 0
121.66666666666667 0
125.0 0
128.33333333333334 0
131.66666666666669 0
135.0 0
138.33333333333334 0
141.66666666666669 0
145.0 0
148.33333333333334 0
151.66666666666669 0
155.0 0
158.33333333333334 0
